industry,project_type,delivery_model,technology_stack,complexity,estimated_team_size,planned_effort,budget,predicted_hours,project_duration,technology_count,dependency_count,requirement_stability_index,criticality,total_team_size,avg_team_experience,offshore_ratio,PM_count,QA_count,Dev_count,target_staff_Automation_Tester,target_staff_Business_Analyst,target_staff_DevOps_Engineer,target_staff_Manual_Tester,target_staff_Project_Manager,target_staff_Python_Developer,target_staff_Python_SSE,target_staff_QA_Lead,target_staff_React_Developer,target_staff_Solution_Architect,target_staff_Angular_Developer,target_staff_BI_Developer,target_staff_Cloud_Engineer,target_staff_Data_Engineer,target_staff_Data_Scientist,target_staff_Delivery_Manager,target_staff_Enterprise_Architect,target_staff_Functional_Consultant,target_staff_Java_Architect,target_staff_Java_Developer,target_staff_Java_Lead,target_staff_Java_SSE,target_staff_L1_Support,target_staff_L2_Support,target_staff_L3_Support,target_staff_Performance_Tester,target_staff_Product_Owner,target_staff_Program_Manager,target_staff_Python_Architect,target_staff_Python_Lead,target_staff_React_Lead,target_staff_React_SSE,target_staff_SAP_Consultant,target_staff_SRE_Engineer,target_staff_Salesforce_Developer,target_staff_Scrum_Master,target_staff_Technical_Architect,CR_count,total_schedule_impact,avg_CR_effort,avg_CR_severity,total_effort_increase,total_schedule_increase,defect_linked_CR_ratio,CR_frequency,CR_volatility_score,return_frequency,rejection_frequency,resubmission_count,approval_cycle_count,workflow_cycle_duration,approval_turnaround_time,cr_return_frequency,cr_rejection_frequency,cr_resubmission_count,cr_approval_cycle_count,cr_workflow_cycle_duration,cr_approval_turnaround_time,actual_effort_hours,schedule_variance_percent,delayed_flag
Healthcare,0,0,SAP,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,22,7.044444444444445,0.0,0,0,1,2,3,1,1,1,5,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,221.0,198.5,2.1,1985.0,221.0,0.4,10.0,70.92999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985.0,0,0
Telecom,0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,27,9.344444444444443,0.0,0,0,2,3,2,2,4,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,39.0,411.3333333333333,2.3333333333333335,1234.0,39.0,0.3333333333333333,3.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.0,0,0
Manufacturing,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,16,7.7666666666666675,0.0,0,0,1,1,2,1,4,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,256.5,3.5,513.0,0.0,1.0,2.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,0,0
Manufacturing,0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,27,8.533333333333333,0.0,0,0,1,2,3,1,4,2,5,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,168.0,342.1666666666667,3.1666666666666665,2053.0,168.0,0.3333333333333333,6.0,53.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053.0,0,0
Manufacturing,0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,24,8.488888888888889,0.0,0,0,1,3,2,1,3,2,4,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,36.0,210.66666666666666,2.6666666666666665,632.0,36.0,0.0,3.0,12.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0,0
Energy,0,0,React,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,22,8.177777777777777,0.0,0,0,2,1,1,2,4,2,2,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,195.0,276.7,2.3,2767.0,195.0,0.4,10.0,63.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2767.0,0,0
Healthcare,0,0,SAP,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,16,9.033333333333333,0.0,0,0,2,1,1,2,2,2,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,264.0,276.6,2.7,2766.0,264.0,0.6,10.0,84.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2766.0,0,0
Manufacturing,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,19,8.066666666666666,0.0,0,0,2,3,1,2,3,1,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,183.0,314.57142857142856,2.2857142857142856,2202.0,183.0,0.42857142857142855,7.0,58.385714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.0,0,0
Telecom,0,0,React,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,20,9.11111111111111,0.0,0,0,1,1,1,1,3,2,3,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,180.0,310.25,2.25,2482.0,180.0,0.375,8.0,57.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2482.0,0,0
BFSI,0,0,React,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,23,10.0,0.0,0,0,2,3,3,2,2,2,6,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,221.0,365.2,2.8,3652.0,221.0,0.6,10.0,71.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3652.0,0,0
Healthcare,0,0,SAP,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,27,6.944444444444445,0.0,0,0,2,3,1,2,4,1,6,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,258.0,255.63636363636363,2.8181818181818183,2812.0,258.0,0.45454545454545453,11.0,82.64545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2812.0,0,0
Manufacturing,0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,17,6.711111111111111,0.0,0,0,1,1,1,1,2,1,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,214.0,244.25,2.0,1954.0,214.0,0.25,8.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.0,0,0
Energy,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,19,10.022222222222222,0.0,0,0,1,1,2,1,4,2,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,55.0,271.0,1.0,542.0,55.0,0.5,2.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,0,0
Manufacturing,0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,16,6.544444444444444,0.0,0,0,1,1,1,1,2,2,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,99.0,260.4,2.4,1302.0,99.0,0.4,5.0,32.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.0,0,0
BFSI,0,0,React,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,26,6.233333333333333,0.0,0,0,2,3,3,2,1,1,6,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,224.0,245.7,2.4,2457.0,224.0,0.4,10.0,71.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2457.0,0,0
Telecom,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,21,8.544444444444444,0.0,0,0,1,3,1,1,2,1,6,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,274.0,318.0,2.4444444444444446,2862.0,274.0,0.4444444444444444,9.0,86.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862.0,0,0
Healthcare,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,25,8.433333333333334,0.0,0,0,2,2,3,2,2,2,6,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,92.0,283.6666666666667,2.6666666666666665,851.0,92.0,0.0,3.0,29.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.0,0,0
Manufacturing,0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,23,8.766666666666667,0.0,0,0,2,2,3,2,3,2,2,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,57.0,372.3333333333333,3.0,1117.0,57.0,0.6666666666666666,3.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,0,0
Telecom,0,0,SAP,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,19,8.011111111111111,0.0,0,0,1,3,2,1,3,1,1,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,69.0,286.5,2.25,1146.0,69.0,0.25,4.0,22.974999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,0,0
Telecom,0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,24,7.199999999999999,0.0,0,0,1,2,2,1,4,2,4,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,129.0,246.0,2.2,1230.0,129.0,0.2,5.0,41.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,0,0
Retail,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,17,7.7555555555555555,0.0,0,0,1,1,1,1,4,1,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,185.0,252.0,2.6666666666666665,2268.0,185.0,0.1111111111111111,9.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.0,0,0
Healthcare,0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,21,7.377777777777778,0.0,0,0,2,3,3,2,1,1,3,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,49.0,295.3333333333333,4.0,886.0,49.0,0.3333333333333333,3.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,0,0
Telecom,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,23,10.899999999999999,0.0,0,0,2,2,3,2,3,1,1,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,106.0,362.75,2.0,1451.0,106.0,0.75,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451.0,0,0
BFSI,0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,25,8.3,0.0,0,0,2,1,3,2,3,1,6,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,144.0,192.44444444444446,2.4444444444444446,1732.0,144.0,0.4444444444444444,9.0,47.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.0,0,0
Retail,0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,22,8.68888888888889,0.0,0,0,2,2,1,2,3,2,4,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,135.0,289.90909090909093,2.727272727272727,3189.0,135.0,0.5454545454545454,11.0,45.71818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3189.0,0,0
Manufacturing,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,13,6.2444444444444445,0.0,0,0,2,1,1,2,2,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,255.0,284.7,2.3,2847.0,255.0,0.2,10.0,81.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2847.0,0,0
Energy,0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,21,7.377777777777778,0.0,0,0,1,2,2,1,1,2,3,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,249.0,263.8181818181818,2.5454545454545454,2902.0,249.0,0.6363636363636364,11.0,79.86363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2902.0,0,0
Retail,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,17,6.955555555555556,0.0,0,0,1,1,3,1,1,1,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,224.0,315.3636363636364,2.1818181818181817,3469.0,224.0,0.45454545454545453,11.0,72.25454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3469.0,0,0
BFSI,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,25,9.7,0.0,0,0,2,3,1,2,4,1,3,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,104.0,293.0,3.3333333333333335,879.0,104.0,0.6666666666666666,3.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,0,0
Retail,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,24,8.988888888888889,0.0,0,0,1,1,3,1,2,2,3,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,108.0,352.0,1.5,2112.0,108.0,0.6666666666666666,6.0,35.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2112.0,0,0
Healthcare,0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,24,9.133333333333333,0.0,0,0,2,3,2,2,1,2,5,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,201.0,215.5,1.875,1724.0,201.0,0.25,8.0,64.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724.0,0,0
Healthcare,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,21,9.8,0.0,0,0,2,3,2,2,2,1,5,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,22.0,126.5,2.0,253.0,22.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0,0
Energy,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,23,7.033333333333333,0.0,0,0,1,2,1,1,3,2,6,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,71.0,349.14285714285717,3.142857142857143,2444.0,71.0,0.42857142857142855,7.0,25.042857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2444.0,0,0
Manufacturing,0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,20,6.166666666666667,0.0,0,0,1,1,3,1,4,2,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,266.0,233.72727272727272,2.5454545454545454,2571.0,266.0,0.2727272727272727,11.0,84.96363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2571.0,0,0
Manufacturing,0,0,NodeJS,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,25,8.955555555555556,0.0,0,0,2,2,2,2,2,1,5,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,282.0,321.09090909090907,2.090909090909091,3532.0,282.0,0.2727272727272727,11.0,89.62727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3532.0,0,0
Manufacturing,0,0,SAP,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,22,7.6000000000000005,0.0,0,0,1,2,1,1,3,2,2,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,178.0,249.88888888888889,2.7777777777777777,2249.0,178.0,0.5555555555555556,9.0,57.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2249.0,0,0
Telecom,0,0,React,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,18,7.388888888888889,0.0,0,0,1,3,2,1,3,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,223.0,289.09090909090907,2.4545454545454546,3180.0,223.0,0.18181818181818182,11.0,72.03636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.0,0,0
Telecom,0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,28,7.388888888888889,0.0,0,0,2,3,3,2,3,1,6,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,103.0,276.0,2.7142857142857144,1932.0,103.0,0.5714285714285714,7.0,34.51428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,0,0
Retail,0,0,Python,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,18,8.122222222222222,0.0,0,0,1,2,1,1,3,1,2,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,337.0,226.72727272727272,2.272727272727273,2494.0,337.0,0.36363636363636365,11.0,106.18181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2494.0,0,0
Healthcare,0,0,Java,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,26,8.733333333333333,0.0,0,0,2,2,2,2,3,1,6,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,94.0,265.2,2.2,1326.0,94.0,0.2,5.0,30.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,0,0
Telecom,0,0,.NET,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,,23,6.4,0.0,0,0,1,3,2,1,4,2,4,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,109.0,277.25,1.75,1109.0,109.0,0.5,4.0,34.824999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.0,0,0
